$ buildtest report

name                          id        state      returncode  starttime            endtime                runtime  tags                    buildspec
exit1_pass                    ec57279c  PASS                1  2021/03/24 16:23:08  2021/03/24 16:23:08   0.135569  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    bb20d68b  PASS                1  2021/03/24 16:23:09  2021/03/24 16:23:09   0.077266  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    ecd146a7  PASS                1  2021/03/24 16:23:10  2021/03/24 16:23:10   0.076624  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    899b841e  PASS                1  2021/03/24 16:23:12  2021/03/24 16:23:12   0.077062  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    f3481ad8  PASS                1  2021/03/24 16:23:23  2021/03/24 16:23:23   0.06321   tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    991495e0  PASS                1  2021/03/24 16:23:36  2021/03/24 16:23:36   0.087803  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    9be59128  PASS                1  2021/03/24 16:23:36  2021/03/24 16:23:36   0.120709  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    17d0d095  PASS                1  2021/03/24 16:23:51  2021/03/24 16:23:51   0.071611  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      b9584271  FAIL                2  2021/03/24 12:43:38  2021/03/24 12:43:38   0.117416  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      009705d4  FAIL                2  2021/03/24 12:43:39  2021/03/24 12:43:39   0.077567  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      0c400d7f  FAIL                2  2021/03/24 12:43:43  2021/03/24 12:43:44   0.080171  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
