$ buildtest report --format name,id,executor,state,returncode

name                          id        executor              state      returncode
sh_shell                      aa9e6070  generic.local.sh      PASS                0
sh_shell                      6842000d  generic.local.sh      PASS                0
sh_shell                      303c244c  generic.local.sh      PASS                0
sh_shell                      517a5729  generic.local.sh      PASS                0
sh_shell                      58c8d573  generic.local.sh      PASS                0
sh_shell                      439d1924  generic.local.sh      PASS                0
sh_shell                      895f0ba4  generic.local.sh      PASS                0
sh_shell                      7f65f171  generic.local.sh      PASS                0
sh_shell                      5c545a3b  generic.local.sh      PASS                0
sh_shell                      bdf663f7  generic.local.sh      PASS                0
shell_options                 1236c1d7  generic.local.sh      PASS                0
shell_options                 e0e85ee2  generic.local.sh      PASS                0
shell_options                 36f5cdad  generic.local.sh      PASS                0
shell_options                 1f0e49aa  generic.local.sh      PASS                0
shell_options                 cc13177a  generic.local.sh      PASS                0
shell_options                 9ed4cf2e  generic.local.sh      PASS                0
shell_options                 0e9b7c11  generic.local.sh      PASS                0
shell_options                 6f585045  generic.local.sh      PASS                0
shell_options                 d7c356c2  generic.local.sh      PASS                0
shell_options                 18d5311f  generic.local.sh      PASS                0
shell_options                 f7e2738d  generic.local.sh      PASS                0
run_only_platform_darwin      bf34b30c  generic.local.python  PASS                0
run_only_platform_darwin      ca74f0f4  generic.local.python  PASS                0
run_only_platform_darwin      030fb8fc  generic.local.python  PASS                0
run_only_platform_darwin      1ffd16ee  generic.local.python  PASS                0
run_only_platform_darwin      7eb06072  generic.local.python  PASS                0
run_only_platform_darwin      c7b8580a  generic.local.python  PASS                0
run_only_platform_darwin      43838879  generic.local.python  PASS                0
variables_bash                c1d55a50  generic.local.bash    PASS                0
variables_bash                3531adb2  generic.local.bash    PASS                0
variables_bash                e6a1e07f  generic.local.bash    PASS                0
variables_bash                eb8cb8f1  generic.local.bash    PASS                0
variables_bash                84fc6851  generic.local.bash    PASS                0
variables_bash                55fcd266  generic.local.bash    PASS                0
variables_bash                f25a945b  generic.local.bash    PASS                0
variables_bash                27880662  generic.local.bash    PASS                0
